Year,COAL (mt CO2),OIL-GAS (mt CO2),Total CO2 (mt),Total Electricity generated (MU),EF
2015-16,88.54,0,88.54,98731.98,0.8967712386604624
2016-17,88.88,0,88.88,103952.08,0.8550093466143246
2017-18,98.27,0,98.27,117917.46,0.8333795521036494
2018-19,116.7,0,116.7,129860.36,0.8986576042142498
2019-20,110.09,0,110.09,129397.9,0.8507866047285157
2020-21,121.67,0,121.67,138084.96,0.8811242006370571
2021-22,125.36,0,125.36,143037.77,0.8764118735911501
2022-23,132.36,0,132.36,152020.28,0.870673307535021
2023-24,144.94,0,144.94,164779.84,0.8795978925577304
2024-25,81.61,0,81.61,82038.17,0.9947808440875754
