Year,OIL-GAS (mt CO2),COAL (mt CO2),Total CO2 (mt),Total Electricity generated (MU),EF
2015-16,2.3,0,2.3,5133.9,0.44800249323126673
2016-17,2.64,0,2.64,5927.25,0.44540048083006456
2017-18,2.7,0,2.7,6050.46,0.44624706220684046
2018-19,2.98,0,2.98,6680.96,0.4460436823450522
2019-20,2.74,0,2.74,6121.04,0.44763634937853697
2020-21,3.17,0,3.17,7058.83,0.44908292167398844
2021-22,2.66,0,2.66,6339.87,0.4195669627295197
2022-23,3.29,0,3.29,7086.06,0.46429186317925614
2023-24,2.95,0,2.95,6358.4,0.4639531957725214
2024-25,1.42,0,1.42,2534.87,0.5601865184407879
